pop_total,zip code tabulation area,pop_white,pop_black,pop_hispanic
10053.0,45402,2473.0,7014.0,202.0
15593.0,45409,14119.0,517.0,402.0
6139.0,45416,1317.0,4580.0,21.0
1871.0,45418,1495.0,289.0,37.0
7289.0,45430,6492.0,136.0,159.0
20633.0,45440,18294.0,800.0,258.0
26979.0,45459,23276.0,1230.0,630.0
2734.0,45613,2403.0,134.0,23.0
4679.0,45644,4535.0,7.0,20.0
274.0,45671,274.0,0.0,0.0
12977.0,45680,12249.0,324.0,29.0
2090.0,45682,2059.0,0.0,0.0
657.0,45695,657.0,0.0,0.0
4759.0,45697,4682.0,3.0,2.0
3481.0,45723,3449.0,4.0,10.0
2840.0,45742,2767.0,18.0,40.0
26906.0,45750,25411.0,329.0,271.0
9418.0,45764,8631.0,340.0,87.0
821.0,45778,731.0,61.0,12.0
753.0,45779,701.0,31.0,0.0
15665.0,45804,9984.0,4480.0,266.0
12407.0,45807,11377.0,508.0,137.0
363.0,45808,343.0,0.0,11.0
56753.0,45601,49622.0,3847.0,876.0
12886.0,45648,11829.0,750.0,130.0
2989.0,45658,2801.0,98.0,33.0
1527.0,45672,1508.0,0.0,0.0
2830.0,45679,2783.0,0.0,15.0
11618.0,45694,11146.0,42.0,18.0
305.0,45698,305.0,0.0,0.0
2440.0,45715,2250.0,0.0,108.0
466.0,45734,462.0,0.0,0.0
1843.0,45761,1796.0,0.0,0.0
3433.0,45771,3407.0,0.0,26.0
786.0,45776,762.0,0.0,0.0
3176.0,45780,2744.0,26.0,165.0
3402.0,45784,3305.0,0.0,64.0
3616.0,45813,3232.0,58.0,210.0
18714.0,45822,17614.0,178.0,241.0
6248.0,45828,6041.0,9.0,195.0
519.0,45835,500.0,1.0,0.0
818.0,45841,791.0,1.0,4.0
154.0,45855,124.0,23.0,1.0
3172.0,45844,3131.0,0.0,29.0
4297.0,45846,4141.0,6.0,101.0
1264.0,45853,1233.0,4.0,20.0
5211.0,45856,3811.0,0.0,1340.0
508.0,45859,489.0,0.0,8.0
4811.0,45869,4665.0,16.0,40.0
5805.0,45879,5224.0,30.0,431.0
2690.0,45880,2536.0,16.0,85.0
3877.0,45883,3812.0,14.0,51.0
635.0,45894,620.0,0.0,0.0
38221.0,45036,31963.0,3911.0,1253.0
54507.0,45040,40627.0,1511.0,1841.0
